position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,time
LF,S,Ian Happ,Michael Lorenzen,R,5,CHC,COL,away,5.0,
RF,R,Seiya Suzuki,Michael Lorenzen,R,6,CHC,COL,away,5.0,
DH,L,M. Ballesteros,Michael Lorenzen,R,7,CHC,COL,away,5.0,
C,R,Carson Kelly,Michael Lorenzen,R,8,CHC,COL,away,5.0,
SS,R,D. Swanson,Michael Lorenzen,R,9,CHC,COL,away,5.0,
RF,S,Willi Castro,Shota Imanaga,L,1,CHC,COL,home,5.0,
SS,R,E. Tovar,Shota Imanaga,L,2,CHC,COL,home,5.0,
1B,L,TJ Rumfield,Shota Imanaga,L,3,CHC,COL,home,5.0,
C,R,H. Goodman,Shota Imanaga,L,4,CHC,COL,home,5.0,
3B,R,Kyle Karros,Shota Imanaga,L,5,CHC,COL,home,5.0,
CF,S,Cole Carrigg,Shota Imanaga,L,6,CHC,COL,home,5.0,
LF,L,T. Johnston,Shota Imanaga,L,7,CHC,COL,home,5.0,
DH,R,B. Fulford,Shota Imanaga,L,8,CHC,COL,home,5.0,
2B,R,Chad Stevens,Shota Imanaga,L,9,CHC,COL,home,5.0,
DH,L,C. Yelich,Jack Perkins,R,1,MIL,ATH,away,6.0,
LF,R,J. Chourio,Jack Perkins,R,2,MIL,ATH,away,6.0,
2B,L,Brice Turang,Jack Perkins,R,3,MIL,ATH,away,6.0,
C,R,W. Contreras,Jack Perkins,R,4,MIL,ATH,away,6.0,
1B,L,Jake Bauers,Jack Perkins,R,5,MIL,ATH,away,6.0,
CF,L,G. Mitchell,Jack Perkins,R,6,MIL,ATH,away,6.0,
RF,L,Sal Frelick,Jack Perkins,R,7,MIL,ATH,away,6.0,
3B,S,Luis Rengifo,Jack Perkins,R,8,MIL,ATH,away,6.0,
SS,L,D. Hamilton,Jack Perkins,R,9,MIL,ATH,away,6.0,
1B,L,Nick Kurtz,Brandon Sproat,R,1,MIL,ATH,home,6.0,
RF,L,C. Cortes,Brandon Sproat,R,2,MIL,ATH,home,6.0,
C,R,S. Langeliers,Brandon Sproat,R,3,MIL,ATH,home,6.0,
DH,R,Brent Rooker,Brandon Sproat,R,4,MIL,ATH,home,6.0,
