position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,time
RF,L,Wilyer Abreu,Cade Cavalli,R,3,WSH,BOS,home,1.0,19:45.4
1B,R,W. Contreras,Cade Cavalli,R,4,WSH,BOS,home,1.0,19:45.4
LF,L,Jarren Duran,Cade Cavalli,R,5,WSH,BOS,home,1.0,19:45.4
DH,R,R. Gonzalez,Cade Cavalli,R,6,WSH,BOS,home,1.0,19:45.4
3B,R,Caleb Durbin,Cade Cavalli,R,7,WSH,BOS,home,1.0,19:45.4
C,R,C. Narvaez,Cade Cavalli,R,8,WSH,BOS,home,1.0,19:45.4
SS,L,T. Cheng,Cade Cavalli,R,9,WSH,BOS,home,1.0,19:45.4
2B,L,J. Wetherholt,Martin Perez,L,1,STL,ATL,away,1.0,19:45.4
C,R,Ivan Herrera,Martin Perez,L,2,STL,ATL,away,1.0,19:45.4
RF,R,J. Walker,Martin Perez,L,3,STL,ATL,away,1.0,19:45.4
DH,R,N. Velazquez,Martin Perez,L,4,STL,ATL,away,1.0,19:45.4
3B,R,Jose Fermin,Martin Perez,L,5,STL,ATL,away,1.0,19:45.4
SS,R,Masyn Winn,Martin Perez,L,6,STL,ATL,away,1.0,19:45.4
LF,L,L. Nootbaar,Martin Perez,L,7,STL,ATL,away,1.0,19:45.4
1B,R,Blaze Jordan,Martin Perez,L,8,STL,ATL,away,1.0,19:45.4
CF,L,N. Church,Martin Perez,L,9,STL,ATL,away,1.0,19:45.4
DH,L,D. Baldwin,M. Liberatore,L,1,STL,ATL,home,1.0,19:45.4
2B,S,Ozzie Albies,M. Liberatore,L,2,STL,ATL,home,1.0,19:45.4
1B,L,Matt Olson,M. Liberatore,L,3,STL,ATL,home,1.0,19:45.4
CF,L,M. Harris,M. Liberatore,L,4,STL,ATL,home,1.0,19:45.4
LF,R,M. Dubon,M. Liberatore,L,5,STL,ATL,home,1.0,19:45.4
RF,R,Eli White,M. Liberatore,L,6,STL,ATL,home,1.0,19:45.4
3B,R,Austin Riley,M. Liberatore,L,7,STL,ATL,home,1.0,19:45.4
C,R,Joey Bart,M. Liberatore,L,8,STL,ATL,home,1.0,19:45.4
SS,R,Jorge Mateo,M. Liberatore,L,9,STL,ATL,home,1.0,19:45.4
DH,R,Yandy Diaz,Noah Cameron,L,1,TB,KC,away,1.0,19:45.4
1B,L,J. Aranda,Noah Cameron,L,2,TB,KC,away,1.0,19:45.4
3B,R,J. Caminero,Noah Cameron,L,3,TB,KC,away,1.0,19:45.4
RF,R,Ryan Vilade,Noah Cameron,L,4,TB,KC,away,1.0,19:45.4
CF,R,Jonny DeLuca,Noah Cameron,L,5,TB,KC,away,1.0,19:45.4
LF,L,C. Simpson,Noah Cameron,L,6,TB,KC,away,1.0,19:45.4
2B,R,B. Williamson,Noah Cameron,L,7,TB,KC,away,1.0,19:45.4
SS,S,Taylor Walls,Noah Cameron,L,8,TB,KC,away,1.0,19:45.4
C,R,Nick Fortes,Noah Cameron,L,9,TB,KC,away,1.0,19:45.4
C,L,C. Jensen,Griffin Jax,R,1,TB,KC,home,1.0,19:45.4
SS,R,Bobby Witt,Griffin Jax,R,2,TB,KC,home,1.0,19:45.4
DH,L,J. Caglianone,Griffin Jax,R,3,TB,KC,home,1.0,19:45.4
CF,R,Lane Thomas,Griffin Jax,R,4,TB,KC,home,1.0,19:45.4
2B,L,M. Massey,Griffin Jax,R,5,TB,KC,home,1.0,19:45.4
1B,R,S. Perez,Griffin Jax,R,6,TB,KC,home,1.0,19:45.4
RF,L,John Rave,Griffin Jax,R,7,TB,KC,home,1.0,19:45.4
3B,R,Nick Loftin,Griffin Jax,R,8,TB,KC,home,1.0,19:45.4
LF,S,I. Collins,Griffin Jax,R,9,TB,KC,home,1.0,19:45.4
SS,S,E. De La Cruz,Brandon Sproat,R,1,CIN,MIL,away,1.0,19:45.4
1B,R,Sal Stewart,Brandon Sproat,R,2,CIN,MIL,away,1.0,19:45.4
LF,L,JJ Bleday,Brandon Sproat,R,3,CIN,MIL,away,1.0,19:45.4
3B,R,E. Suarez,Brandon Sproat,R,4,CIN,MIL,away,1.0,19:45.4
DH,L,N. Lowe,Brandon Sproat,R,5,CIN,MIL,away,1.0,19:45.4
RF,R,Noelvi Marte,Brandon Sproat,R,6,CIN,MIL,away,1.0,19:45.4
2B,S,Edwin Arroyo,Brandon Sproat,R,7,CIN,MIL,away,1.0,19:45.4
C,R,Jose Trevino,Brandon Sproat,R,8,CIN,MIL,away,1.0,19:45.4
CF,L,TJ Friedl,Brandon Sproat,R,9,CIN,MIL,away,1.0,19:45.4
DH,L,C. Yelich,Rhett Lowder,R,1,CIN,MIL,home,1.0,19:45.4
LF,R,J. Chourio,Rhett Lowder,R,2,CIN,MIL,home,1.0,19:45.4
2B,L,Brice Turang,Rhett Lowder,R,3,CIN,MIL,home,1.0,19:45.4
C,R,W. Contreras,Rhett Lowder,R,4,CIN,MIL,home,1.0,19:45.4
1B,L,Jake Bauers,Rhett Lowder,R,5,CIN,MIL,home,1.0,19:45.4
CF,L,G. Mitchell,Rhett Lowder,R,6,CIN,MIL,home,1.0,19:45.4
RF,L,Sal Frelick,Rhett Lowder,R,7,CIN,MIL,home,1.0,19:45.4
SS,R,Joey Ortiz,Rhett Lowder,R,8,CIN,MIL,home,1.0,19:45.4
3B,L,D. Hamilton,Rhett Lowder,R,9,CIN,MIL,home,1.0,19:45.4
2B,R,F. Tatis,Matthew Boyd,L,1,SD,CHC,away,2.0,19:45.4
LF,R,Samad Taylor,Matthew Boyd,L,2,SD,CHC,away,2.0,19:45.4
3B,R,M. Machado,Matthew Boyd,L,3,SD,CHC,away,2.0,19:45.4
DH,R,M. Andujar,Matthew Boyd,L,4,SD,CHC,away,2.0,19:45.4
1B,R,Ty France,Matthew Boyd,L,5,SD,CHC,away,2.0,19:45.4
CF,L,J. Merrill,Matthew Boyd,L,6,SD,CHC,away,2.0,19:45.4
SS,R,X. Bogaerts,Matthew Boyd,L,7,SD,CHC,away,2.0,19:45.4
RF,R,Jase Bowen,Matthew Boyd,L,8,SD,CHC,away,2.0,19:45.4
C,R,F. Fermin,Matthew Boyd,L,9,SD,CHC,away,2.0,19:45.4
CF,L,P. Crow-Armstrong,JP Sears,L,1,SD,CHC,home,2.0,19:45.4
3B,R,Alex Bregman,JP Sears,L,2,SD,CHC,home,2.0,19:45.4
DH,R,Seiya Suzuki,JP Sears,L,3,SD,CHC,home,2.0,19:45.4
C,R,Carson Kelly,JP Sears,L,4,SD,CHC,home,2.0,19:45.4
1B,L,M. Busch,JP Sears,L,5,SD,CHC,home,2.0,19:45.4
2B,R,Nico Hoerner,JP Sears,L,6,SD,CHC,home,2.0,19:45.4
LF,S,Ian Happ,JP Sears,L,7,SD,CHC,home,2.0,19:45.4
SS,R,D. Swanson,JP Sears,L,8,SD,CHC,home,2.0,19:45.4
RF,R,K. Alcantara,JP Sears,L,9,SD,CHC,home,2.0,19:45.4
LF,L,T. Larnach,Mike Burrows,R,1,MIN,HOU,away,2.0,19:45.4
3B,S,Brooks Lee,Mike Burrows,R,2,MIN,HOU,away,2.0,19:45.4
2B,L,Kody Clemens,Mike Burrows,R,3,MIN,HOU,away,2.0,19:45.4
DH,S,Josh Bell,Mike Burrows,R,4,MIN,HOU,away,2.0,19:45.4
1B,R,Royce Lewis,Mike Burrows,R,5,MIN,HOU,away,2.0,19:45.4
C,S,V. Caratini,Mike Burrows,R,6,MIN,HOU,away,2.0,19:45.4
CF,R,R. Kreidler,Mike Burrows,R,7,MIN,HOU,away,2.0,19:45.4
SS,L,Tristan Gray,Mike Burrows,R,8,MIN,HOU,away,2.0,19:45.4
RF,R,A. Martin,Mike Burrows,R,9,MIN,HOU,away,2.0,19:45.4
2B,R,Jose Altuve,Joe Ryan,R,1,MIN,HOU,home,2.0,19:45.4
LF,L,Y. Alvarez,Joe Ryan,R,2,MIN,HOU,home,2.0,19:45.4
DH,R,I. Paredes,Joe Ryan,R,3,MIN,HOU,home,2.0,19:45.4
1B,R,C. Walker,Joe Ryan,R,4,MIN,HOU,home,2.0,19:45.4
RF,R,Cam Smith,Joe Ryan,R,5,MIN,HOU,home,2.0,19:45.4
CF,L,T. Trammell,Joe Ryan,R,6,MIN,HOU,home,2.0,19:45.4
C,R,Yainer Diaz,Joe Ryan,R,7,MIN,HOU,home,2.0,19:45.4
SS,R,Nick Allen,Joe Ryan,R,8,MIN,HOU,home,2.0,19:45.4
3B,L,R. Delgado,Joe Ryan,R,9,MIN,HOU,home,2.0,19:45.4
1B,L,Liam Hicks,Tanner Gordon,R,1,MIA,COL,away,2.0,19:45.4
DH,L,Kyle Stowers,Tanner Gordon,R,2,MIA,COL,away,2.0,19:45.4
LF,L,G. Conine,Tanner Gordon,R,3,MIA,COL,away,2.0,19:45.4
2B,S,X. Edwards,Tanner Gordon,R,4,MIA,COL,away,2.0,19:45.4
CF,L,Jakob Marsee,Tanner Gordon,R,5,MIA,COL,away,2.0,19:45.4
RF,L,Owen Caissie,Tanner Gordon,R,6,MIA,COL,away,2.0,19:45.4
SS,R,J. Sanoja,Tanner Gordon,R,7,MIA,COL,away,2.0,19:45.4
C,L,Joe Mack,Tanner Gordon,R,8,MIA,COL,away,2.0,19:45.4
3B,R,Leo Jimenez,Tanner Gordon,R,9,MIA,COL,away,2.0,19:45.4
RF,L,J. McCarthy,Eury Perez,R,1,MIA,COL,home,2.0,19:45.4
LF,L,M. Moniak,Eury Perez,R,2,MIA,COL,home,2.0,19:45.4
C,R,H. Goodman,Eury Perez,R,3,MIA,COL,home,2.0,19:45.4
1B,L,TJ Rumfield,Eury Perez,R,4,MIA,COL,home,2.0,19:45.4
CF,S,Cole Carrigg,Eury Perez,R,5,MIA,COL,home,2.0,19:45.4
DH,R,T. Freeman,Eury Perez,R,6,MIA,COL,home,2.0,19:45.4
2B,L,E. Julien,Eury Perez,R,7,MIA,COL,home,2.0,19:45.4
3B,R,Kyle Karros,Eury Perez,R,8,MIA,COL,home,2.0,19:45.4
SS,R,E. Tovar,Eury Perez,R,9,MIA,COL,home,2.0,19:45.4
DH,L,S. Ohtani,Jeffrey Springs,L,1,LAD,ATH,away,3.0,19:45.4
CF,R,Andy Pages,Jeffrey Springs,L,2,LAD,ATH,away,3.0,19:45.4
1B,L,F. Freeman,Jeffrey Springs,L,3,LAD,ATH,away,3.0,19:45.4
SS,R,Mookie Betts,Jeffrey Springs,L,4,LAD,ATH,away,3.0,19:45.4
LF,R,T. Hernandez,Jeffrey Springs,L,5,LAD,ATH,away,3.0,19:45.4
RF,L,Kyle Tucker,Jeffrey Springs,L,6,LAD,ATH,away,3.0,19:45.4
3B,S,Tommy Edman,Jeffrey Springs,L,7,LAD,ATH,away,3.0,19:45.4
2B,R,Miguel Rojas,Jeffrey Springs,L,8,LAD,ATH,away,3.0,19:45.4
C,L,D. Rushing,Jeffrey Springs,L,9,LAD,ATH,away,3.0,19:45.4
CF,R,Henry Bolte,Justin Wrobleski,L,1,LAD,ATH,home,3.0,19:45.4
C,R,S. Langeliers,Justin Wrobleski,L,2,LAD,ATH,home,3.0,19:45.4
1B,L,Nick Kurtz,Justin Wrobleski,L,3,LAD,ATH,home,3.0,19:45.4
DH,S,Jonah Heim,Justin Wrobleski,L,4,LAD,ATH,home,3.0,19:45.4
LF,R,Joey Meneses,Justin Wrobleski,L,5,LAD,ATH,home,3.0,19:45.4
RF,R,Colby Thomas,Justin Wrobleski,L,6,LAD,ATH,home,3.0,19:45.4
3B,R,Max Muncy,Justin Wrobleski,L,7,LAD,ATH,home,3.0,19:45.4
SS,R,A. Williams,Justin Wrobleski,L,8,LAD,ATH,home,3.0,19:45.4
2B,R,J. Kuroda-Grauer,Justin Wrobleski,L,9,LAD,ATH,home,3.0,19:45.4
SS,R,Zach Neto,Bryan Woo,R,1,LAA,SEA,away,3.0,19:45.4
3B,R,D. Guzman,Bryan Woo,R,2,LAA,SEA,away,3.0,19:45.4
1B,L,N. Schanuel,Bryan Woo,R,3,LAA,SEA,away,3.0,19:45.4
DH,R,Jorge Soler,Bryan Woo,R,4,LAA,SEA,away,3.0,19:45.4
LF,L,Wade Meckler,Bryan Woo,R,5,LAA,SEA,away,3.0,19:45.4
RF,R,Jo Adell,Bryan Woo,R,6,LAA,SEA,away,3.0,19:45.4
2B,L,D. Walton,Bryan Woo,R,7,LAA,SEA,away,3.0,19:45.4
C,R,L. O'Hoppe,Bryan Woo,R,8,LAA,SEA,away,3.0,19:45.4
CF,L,Josh Lowe,Bryan Woo,R,9,LAA,SEA,away,3.0,19:45.4
3B,L,J. Crawford,Jose Soriano,R,1,LAA,SEA,home,3.0,19:45.4
CF,R,J. Rodriguez,Jose Soriano,R,2,LAA,SEA,home,3.0,19:45.4
1B,L,Josh Naylor,Jose Soriano,R,3,LAA,SEA,home,3.0,19:45.4
DH,R,R. Arozarena,Jose Soriano,R,4,LAA,SEA,home,3.0,19:45.4
C,S,Cal Raleigh,Jose Soriano,R,5,LAA,SEA,home,3.0,19:45.4
2B,L,Cole Young,Jose Soriano,R,6,LAA,SEA,home,3.0,19:45.4
SS,L,Colt Emerson,Jose Soriano,R,7,LAA,SEA,home,3.0,19:45.4
LF,R,V. Robles,Jose Soriano,R,8,LAA,SEA,home,3.0,19:45.4
RF,R,W. Wilson,Jose Soriano,R,9,LAA,SEA,home,3.0,19:45.4
2B,L,Luis Arraez,Brandon Pfaadt,R,1,SF,ARI,away,3.0,19:45.4
DH,L,B. Eldridge,Brandon Pfaadt,R,2,SF,ARI,away,3.0,19:45.4
SS,R,C. Schmitt,Brandon Pfaadt,R,3,SF,ARI,away,3.0,19:45.4
1B,L,R. Devers,Brandon Pfaadt,R,4,SF,ARI,away,3.0,19:45.4
RF,L,Jung Hoo Lee,Brandon Pfaadt,R,5,SF,ARI,away,3.0,19:45.4
LF,R,Heliot Ramos,Brandon Pfaadt,R,6,SF,ARI,away,3.0,19:45.4
3B,R,Matt Chapman,Brandon Pfaadt,R,7,SF,ARI,away,3.0,19:45.4
CF,L,Drew Gilbert,Brandon Pfaadt,R,8,SF,ARI,away,3.0,19:45.4
C,L,D. Cavanaugh,Brandon Pfaadt,R,9,SF,ARI,away,3.0,19:45.4
2B,S,Ketel Marte,Landen Roupp,R,1,SF,ARI,home,3.0,19:45.4
SS,S,G. Perdomo,Landen Roupp,R,2,SF,ARI,home,3.0,19:45.4
RF,L,C. Carroll,Landen Roupp,R,3,SF,ARI,home,3.0,19:45.4
C,R,G. Moreno,Landen Roupp,R,4,SF,ARI,home,3.0,19:45.4
DH,R,L. Gurriel,Landen Roupp,R,5,SF,ARI,home,3.0,19:45.4
LF,L,Max Kepler,Landen Roupp,R,6,SF,ARI,home,3.0,19:45.4
3B,R,N. Arenado,Landen Roupp,R,7,SF,ARI,home,3.0,19:45.4
1B,L,Pavin Smith,Landen Roupp,R,8,SF,ARI,home,3.0,19:45.4
CF,S,J. Barrosa,Landen Roupp,R,9,SF,ARI,home,3.0,19:45.4
CF,S,Jake Mangum,Alan Rangel,R,1,PIT,PHI,away,0.0,16:50.3
2B,L,Brandon Lowe,Alan Rangel,R,2,PIT,PHI,away,0.0,16:50.3
LF,S,B. Reynolds,Alan Rangel,R,3,PIT,PHI,away,0.0,16:50.3
RF,R,E. Valdez,Alan Rangel,R,4,PIT,PHI,away,0.0,16:50.3
1B,L,Ryan O'Hearn,Alan Rangel,R,5,PIT,PHI,away,0.0,16:50.3
3B,R,N. Gonzales,Alan Rangel,R,6,PIT,PHI,away,0.0,16:50.3
DH,R,M. Ozuna,Alan Rangel,R,7,PIT,PHI,away,0.0,16:50.3
C,S,E. Rodriguez,Alan Rangel,R,8,PIT,PHI,away,0.0,16:50.3
SS,R,Jared Triolo,Alan Rangel,R,9,PIT,PHI,away,0.0,16:50.3
SS,R,Trea Turner,Jared Jones,R,1,PIT,PHI,home,0.0,16:50.3
DH,L,K. Schwarber,Jared Jones,R,2,PIT,PHI,home,0.0,16:50.3
1B,L,Bryce Harper,Jared Jones,R,3,PIT,PHI,home,0.0,16:50.3
LF,L,B. Marsh,Jared Jones,R,4,PIT,PHI,home,0.0,16:50.3
3B,R,Alec Bohm,Jared Jones,R,5,PIT,PHI,home,0.0,16:50.3
2B,L,Bryson Stott,Jared Jones,R,6,PIT,PHI,home,0.0,16:50.3
RF,L,G. Rincones,Jared Jones,R,7,PIT,PHI,home,0.0,16:50.3
CF,L,J. Crawford,Jared Jones,R,8,PIT,PHI,home,0.0,16:50.3
C,S,R. Marchan,Jared Jones,R,9,PIT,PHI,home,0.0,16:50.3
SS,S,E. De La Cruz,J. Misiorowski,R,1,CIN,MIL,away,2.0,16:50.3
3B,R,Sal Stewart,J. Misiorowski,R,2,CIN,MIL,away,2.0,16:50.3
LF,L,JJ Bleday,J. Misiorowski,R,3,CIN,MIL,away,2.0,16:50.3
DH,R,E. Suarez,J. Misiorowski,R,4,CIN,MIL,away,2.0,16:50.3
1B,L,N. Lowe,J. Misiorowski,R,5,CIN,MIL,away,2.0,16:50.3
RF,R,Noelvi Marte,J. Misiorowski,R,6,CIN,MIL,away,2.0,16:50.3
2B,S,Edwin Arroyo,J. Misiorowski,R,7,CIN,MIL,away,2.0,16:50.3
C,R,Jose Trevino,J. Misiorowski,R,8,CIN,MIL,away,2.0,16:50.3
CF,L,TJ Friedl,J. Misiorowski,R,9,CIN,MIL,away,2.0,16:50.3
DH,L,C. Yelich,Chase Burns,R,1,CIN,MIL,home,2.0,16:50.3
LF,R,J. Chourio,Chase Burns,R,2,CIN,MIL,home,2.0,16:50.3
2B,L,Brice Turang,Chase Burns,R,3,CIN,MIL,home,2.0,16:50.3
C,R,W. Contreras,Chase Burns,R,4,CIN,MIL,home,2.0,16:50.3
1B,L,Jake Bauers,Chase Burns,R,5,CIN,MIL,home,2.0,16:50.3
CF,L,G. Mitchell,Chase Burns,R,6,CIN,MIL,home,2.0,16:50.3
RF,L,Sal Frelick,Chase Burns,R,7,CIN,MIL,home,2.0,16:50.3
SS,R,Cooper Pratt,Chase Burns,R,8,CIN,MIL,home,2.0,16:50.3
3B,L,D. Hamilton,Chase Burns,R,9,CIN,MIL,home,2.0,16:50.3
1B,L,Liam Hicks,Michael Lorenzen,R,1,MIA,COL,away,3.0,16:50.3
SS,R,Otto Lopez,Michael Lorenzen,R,2,MIA,COL,away,3.0,16:50.3
LF,L,Kyle Stowers,Michael Lorenzen,R,3,MIA,COL,away,3.0,16:50.3
2B,S,X. Edwards,Michael Lorenzen,R,4,MIA,COL,away,3.0,16:50.3
DH,L,G. Conine,Michael Lorenzen,R,5,MIA,COL,away,3.0,16:50.3
CF,L,Jakob Marsee,Michael Lorenzen,R,6,MIA,COL,away,3.0,16:50.3
RF,L,Owen Caissie,Michael Lorenzen,R,7,MIA,COL,away,3.0,16:50.3
C,L,Joe Mack,Michael Lorenzen,R,8,MIA,COL,away,3.0,16:50.3
3B,R,J. Sanoja,Michael Lorenzen,R,9,MIA,COL,away,3.0,16:50.3
RF,L,J. McCarthy,Ryan Gusto,R,1,MIA,COL,home,3.0,16:50.3
LF,L,M. Moniak,Ryan Gusto,R,2,MIA,COL,home,3.0,16:50.3
1B,L,TJ Rumfield,Ryan Gusto,R,3,MIA,COL,home,3.0,16:50.3
SS,S,Willi Castro,Ryan Gusto,R,4,MIA,COL,home,3.0,16:50.3
DH,L,T. Johnston,Ryan Gusto,R,5,MIA,COL,home,3.0,16:50.3
CF,S,Cole Carrigg,Ryan Gusto,R,6,MIA,COL,home,3.0,16:50.3
3B,R,Kyle Karros,Ryan Gusto,R,7,MIA,COL,home,3.0,16:50.3
C,L,B. Sullivan,Ryan Gusto,R,8,MIA,COL,home,3.0,16:50.3
2B,L,E. Julien,Ryan Gusto,R,9,MIA,COL,home,3.0,16:50.3
C,L,C. Jensen,Shane Baz,R,1,KC,BAL,away,0.0,2026-07-12 13:20:32.005018
SS,R,Bobby Witt,Shane Baz,R,2,KC,BAL,away,0.0,2026-07-12 13:20:32.005018
RF,L,J. Caglianone,Shane Baz,R,3,KC,BAL,away,0.0,2026-07-12 13:20:32.005018
CF,R,Lane Thomas,Shane Baz,R,4,KC,BAL,away,0.0,2026-07-12 13:20:32.005018
DH,L,V. Pasquantino,Shane Baz,R,5,KC,BAL,away,0.0,2026-07-12 13:20:32.005018
1B,R,S. Perez,Shane Baz,R,6,KC,BAL,away,0.0,2026-07-12 13:20:32.005018
2B,L,M. Massey,Shane Baz,R,7,KC,BAL,away,0.0,2026-07-12 13:20:32.005018
3B,L,Josh Rojas,Shane Baz,R,8,KC,BAL,away,0.0,2026-07-12 13:20:32.005018
LF,S,I. Collins,Shane Baz,R,9,KC,BAL,away,0.0,2026-07-12 13:20:32.005018
SS,L,G. Henderson,Seth Lugo,R,1,KC,BAL,home,0.0,2026-07-12 13:20:32.005018
DH,R,Taylor Ward,Seth Lugo,R,2,KC,BAL,home,0.0,2026-07-12 13:20:32.005018
LF,L,D. Beavers,Seth Lugo,R,3,KC,BAL,home,0.0,2026-07-12 13:20:32.005018
1B,R,Pete Alonso,Seth Lugo,R,4,KC,BAL,home,0.0,2026-07-12 13:20:32.005018
C,L,S. Basallo,Seth Lugo,R,5,KC,BAL,home,0.0,2026-07-12 13:20:32.005018
3B,R,B. Alexander,Seth Lugo,R,6,KC,BAL,home,0.0,2026-07-12 13:20:32.005018
CF,L,C. Cowser,Seth Lugo,R,7,KC,BAL,home,0.0,2026-07-12 13:20:32.005018
RF,S,L. Taveras,Seth Lugo,R,8,KC,BAL,home,0.0,2026-07-12 13:20:32.005018
2B,L,J. Holliday,Seth Lugo,R,9,KC,BAL,home,0.0,2026-07-12 13:20:32.005018
CF,L,T. Grisham,Cade Cavalli,R,1,NYY,WSH,away,0.0,2026-07-12 13:20:32.005018
1B,L,Ben Rice,Cade Cavalli,R,2,NYY,WSH,away,0.0,2026-07-12 13:20:32.005018
DH,S,J. Dominguez,Cade Cavalli,R,3,NYY,WSH,away,0.0,2026-07-12 13:20:32.005018
LF,L,C. Bellinger,Cade Cavalli,R,4,NYY,WSH,away,0.0,2026-07-12 13:20:32.005018
2B,L,J. Chisholm,Cade Cavalli,R,5,NYY,WSH,away,0.0,2026-07-12 13:20:32.005018
SS,R,J. Caballero,Cade Cavalli,R,6,NYY,WSH,away,0.0,2026-07-12 13:20:32.005018
3B,L,Ryan McMahon,Cade Cavalli,R,7,NYY,WSH,away,0.0,2026-07-12 13:20:32.005018
C,L,Austin Wells,Cade Cavalli,R,8,NYY,WSH,away,0.0,2026-07-12 13:20:32.005018
RF,R,M. Schuemann,Cade Cavalli,R,9,NYY,WSH,away,0.0,2026-07-12 13:20:32.005018
RF,L,James Wood,Will Warren,R,1,NYY,WSH,home,0.0,2026-07-12 13:20:32.005018
1B,L,Luis Garcia,Will Warren,R,2,NYY,WSH,home,0.0,2026-07-12 13:20:32.005018
DH,L,A. Ortiz,Will Warren,R,3,NYY,WSH,home,0.0,2026-07-12 13:20:32.005018
SS,L,CJ Abrams,Will Warren,R,4,NYY,WSH,home,0.0,2026-07-12 13:20:32.005018
CF,R,Dylan Crews,Will Warren,R,5,NYY,WSH,home,0.0,2026-07-12 13:20:32.005018
LF,L,Daylen Lile,Will Warren,R,6,NYY,WSH,home,0.0,2026-07-12 13:20:32.005018
2B,L,Jose Tena,Will Warren,R,7,NYY,WSH,home,0.0,2026-07-12 13:20:32.005018
3B,L,Jorbit Vivas,Will Warren,R,8,NYY,WSH,home,0.0,2026-07-12 13:20:32.005018
C,S,Keibert Ruiz,Will Warren,R,9,NYY,WSH,home,0.0,2026-07-12 13:20:32.005018
SS,R,Trea Turner,Tarik Skubal,L,1,PHI,DET,away,0.0,2026-07-12 13:20:32.005018
DH,L,K. Schwarber,Tarik Skubal,L,2,PHI,DET,away,0.0,2026-07-12 13:20:32.005018
1B,L,Bryce Harper,Tarik Skubal,L,3,PHI,DET,away,0.0,2026-07-12 13:20:32.005018
3B,R,Alec Bohm,Tarik Skubal,L,4,PHI,DET,away,0.0,2026-07-12 13:20:32.005018
LF,R,Edmundo Sosa,Tarik Skubal,L,5,PHI,DET,away,0.0,2026-07-12 13:20:32.005018
RF,L,B. Marsh,Tarik Skubal,L,6,PHI,DET,away,0.0,2026-07-12 13:20:32.005018
CF,R,Derek Hill,Tarik Skubal,L,7,PHI,DET,away,0.0,2026-07-12 13:20:32.005018
C,R,J. Realmuto,Tarik Skubal,L,8,PHI,DET,away,0.0,2026-07-12 13:20:32.005018
2B,L,Bryson Stott,Tarik Skubal,L,9,PHI,DET,away,0.0,2026-07-12 13:20:32.005018
SS,L,K. McGonigle,Zack Wheeler,R,1,PHI,DET,home,0.0,2026-07-12 13:20:32.005018
C,R,D. Dingler,Zack Wheeler,R,2,PHI,DET,home,0.0,2026-07-12 13:20:32.005018
3B,L,Colt Keith,Zack Wheeler,R,3,PHI,DET,home,0.0,2026-07-12 13:20:32.005018
LF,L,Riley Greene,Zack Wheeler,R,4,PHI,DET,home,0.0,2026-07-12 13:20:32.005018
1B,R,S. Torkelson,Zack Wheeler,R,5,PHI,DET,home,0.0,2026-07-12 13:20:32.005018
DH,L,K. Carpenter,Zack Wheeler,R,6,PHI,DET,home,0.0,2026-07-12 13:20:32.005018
2B,L,Z. McKinstry,Zack Wheeler,R,7,PHI,DET,home,0.0,2026-07-12 13:20:32.005018
RF,R,M. Vierling,Zack Wheeler,R,8,PHI,DET,home,0.0,2026-07-12 13:20:32.005018
CF,L,James Outman,Zack Wheeler,R,9,PHI,DET,home,0.0,2026-07-12 13:20:32.005018
CF,L,P. Crow-Armstrong,Andrew Abbott,L,1,CHC,CIN,away,0.0,2026-07-12 13:20:32.005018
RF,R,Seiya Suzuki,Andrew Abbott,L,2,CHC,CIN,away,0.0,2026-07-12 13:20:32.005018
3B,R,Alex Bregman,Andrew Abbott,L,3,CHC,CIN,away,0.0,2026-07-12 13:20:32.005018
C,R,Carson Kelly,Andrew Abbott,L,4,CHC,CIN,away,0.0,2026-07-12 13:20:32.005018
1B,L,M. Busch,Andrew Abbott,L,5,CHC,CIN,away,0.0,2026-07-12 13:20:32.005018
2B,R,Nico Hoerner,Andrew Abbott,L,6,CHC,CIN,away,0.0,2026-07-12 13:20:32.005018
LF,S,Ian Happ,Andrew Abbott,L,7,CHC,CIN,away,0.0,2026-07-12 13:20:32.005018
SS,R,D. Swanson,Andrew Abbott,L,8,CHC,CIN,away,0.0,2026-07-12 13:20:32.005018
DH,R,K. Alcantara,Andrew Abbott,L,9,CHC,CIN,away,0.0,2026-07-12 13:20:32.005018
SS,S,E. De La Cruz,Matthew Boyd,L,1,CHC,CIN,home,0.0,2026-07-12 13:20:32.005018
1B,R,Sal Stewart,Matthew Boyd,L,2,CHC,CIN,home,0.0,2026-07-12 13:20:32.005018
CF,R,S. Steer,Matthew Boyd,L,3,CHC,CIN,home,0.0,2026-07-12 13:20:32.005018
LF,L,JJ Bleday,Matthew Boyd,L,4,CHC,CIN,home,0.0,2026-07-12 13:20:32.005018
DH,R,E. Suarez,Matthew Boyd,L,5,CHC,CIN,home,0.0,2026-07-12 13:20:32.005018
C,R,T. Stephenson,Matthew Boyd,L,6,CHC,CIN,home,0.0,2026-07-12 13:20:32.005018
RF,R,Noelvi Marte,Matthew Boyd,L,7,CHC,CIN,home,0.0,2026-07-12 13:20:32.005018
2B,S,Edwin Arroyo,Matthew Boyd,L,8,CHC,CIN,home,0.0,2026-07-12 13:20:32.005018
3B,R,K. Hayes,Matthew Boyd,L,9,CHC,CIN,home,0.0,2026-07-12 13:20:32.005018
2B,L,A. Seigler,Zach Thornton,L,1,BOS,NYM,away,0.0,2026-07-12 13:20:32.005018
CF,R,C. Rafaela,Zach Thornton,L,2,BOS,NYM,away,0.0,2026-07-12 13:20:32.005018
