diff_threshold,pred_hr_threshold,train_picks,train_win_rate,train_profit,train_roi,num_picks,win_rate,total_profit,roi,sum_profit,sum_picks,weight,both_roi,decision
0.05,0.6,883,80.18,30.32,0.34,1308,81.12,202.25,1.55,232.57,2191,75,1.061478777,
0.05,0.78,809,83.19,92.96,1.15,1175,83.15,117.6,1,210.56,1984,35,1.061290323,
0.03,0.84,791,86.22,8.9,0.11,1132,87.54,192.97,1.7,201.87,1923,75,1.049765991,
0.035,0.84,559,85.87,-6.91,-0.12,782,87.47,147.42,1.89,140.51,1341,75,1.047800149,
0.055,0.78,519,82.66,43.59,0.84,768,83.2,90.68,1.18,134.27,1287,50,1.043278943,
0.04,0.84,346,85.84,-2.82,-0.08,510,87.25,91.56,1.8,88.74,856,90,1.036682243,
0.04,0.84,510,85.29,-24.13,-0.47,712,87.36,150.3,2.11,126.17,1222,30,1.032487725,
0.035,0.84,733,85.95,10.53,0.14,1029,87.17,171.17,1.66,181.7,1762,30,1.031214529,
0.06,0.78,340,82.94,46.22,1.36,497,82.7,40.03,0.81,86.25,837,70,1.03046595,
0.035,0.84,683,85.94,3.54,0.05,961,87.3,165.11,1.72,168.65,1644,40,1.025851582,
0.03,0.84,804,86.07,-4.56,-0.06,1161,87.6,204.85,1.76,200.29,1965,70,1.019287532,
0.06,0.78,479,82.46,47.41,0.99,706,82.72,73.29,1.04,120.7,1185,35,1.018565401,
0.05,0.65,902,80.27,27.02,0.3,1327,81.16,199.43,1.5,226.45,2229,70,1.015926424,
0.05,0,857,80.16,25.71,0.3,1270,81.1,190.17,1.5,215.88,2127,85,1.014950635,
0.05,0.6,857,80.16,25.71,0.3,1270,81.1,190.17,1.5,215.88,2127,85,1.014950635,
0.04,0.8,851,84.61,124.67,1.46,1261,83.9,87.62,0.69,212.29,2112,90,1.005160985,
0.05,0,907,80.15,25.46,0.28,1335,81.05,198.67,1.49,224.13,2242,70,0.999687779,
0.05,0.6,907,80.15,25.46,0.28,1335,81.05,198.67,1.49,224.13,2242,70,0.999687779,
0.035,0.84,648,85.8,-9.34,-0.14,913,87.4,165.23,1.81,155.89,1561,45,0.998654709,
0.05,0.78,704,83.24,81.74,1.16,1043,83.13,92.5,0.89,174.24,1747,45,0.997366915,
0.065,0.78,322,81.99,21.36,0.66,469,82.73,57.49,1.23,78.85,791,45,0.996839444,
0.075,0.8,327,82.87,69.5,2.13,468,81.2,9.7,0.21,79.2,795,15,0.996226415,
0.045,0.8,845,84.62,163.68,1.94,1276,83.31,46.34,0.36,210.02,2121,40,0.990193305,
0.05,0.65,853,80.19,17.27,0.2,1262,81.22,190.93,1.51,208.2,2115,85,0.984397163,
0.06,0.78,375,82.4,27.79,0.74,562,82.92,64.06,1.14,91.85,937,55,0.980256137,
0.05,0.6,843,80.07,15.61,0.19,1244,81.11,188.05,1.51,203.66,2087,90,0.975850503,
0.05,0,843,80.07,15.61,0.19,1244,81.11,188.05,1.51,203.66,2087,90,0.975850503,
0.07,0,433,78.29,6.36,0.15,601,79.2,91.56,1.52,97.92,1034,60,0.947001934,
0.07,0.6,433,78.29,6.36,0.15,601,79.2,91.56,1.52,97.92,1034,60,0.947001934,
0.05,0.65,839,80.1,7.17,0.09,1236,81.23,188.81,1.53,195.98,2075,90,0.944481928,
0.055,0.78,489,82.41,25.82,0.53,735,83.27,89.63,1.22,115.45,1224,55,0.943218954,
0.03,0.84,819,85.96,-14.3,-0.17,1181,87.55,202.47,1.71,188.17,2000,65,0.94085,
0.05,0.8,849,84.1,148.6,1.75,1315,82.97,53.06,0.4,201.66,2164,25,0.931885397,
0.055,0.8,381,83.2,31.36,0.82,582,83.51,57.65,0.99,89.01,963,70,0.924299065,
0.04,0.8,868,84.33,100.12,1.15,1278,83.96,98.07,0.77,198.19,2146,85,0.923532153,
0.06,0.78,615,82.11,43.27,0.7,932,82.62,98.22,1.05,141.49,1547,25,0.91460892,
0.055,0.8,668,83.53,94.87,1.42,1016,82.97,59,0.58,153.87,1684,25,0.91371734,
0.055,0.78,429,82.75,36.47,0.85,636,83.02,60.27,0.95,96.74,1065,80,0.908356808,
