stat,pre_split,prior_year,two_years,league_average,correlation,pre_split_bbe,prior_bbe,two_years_bbe,data_points
extension,0.92,0.039,0.0,0.041,0.01,75,10,75,361
velo,1.0,0.0,0.0,0.0,0.01,75,10,75,361
spin_rate,1.0,0.0,0.0,0.0,0.02,75,10,75,361
whiff,0.887,0.0,0.113,0.0,0.21,75,10,75,361
hh,0.446,0.06,0.154,0.339,0.16,75,10,75,361
ld,0.169,0.0,0.0,0.831,0.2,75,10,75,361
barrel,0.382,0.029,0.045,0.543,0.45,75,10,75,361
weak,0.827,0.045,0.063,0.065,0.21,75,10,75,361
hr,0.216,0.045,0.156,0.583,0.48,75,10,75,361
swing%,0.719,0.062,0.11,0.11,0.07,75,10,75,361
chase%,0.84,0.031,0.07,0.058,0.2,75,10,75,361
xwobacon,0.392,0.009,0.095,0.504,0.11,100,10,75,209
la,0.882,0.02,0.002,0.096,0.51,100,10,75,209
ev,0.706,0.006,0.119,0.169,0.02,100,10,75,209
gb/fb,0.753,0.014,0.001,0.232,0.44,100,10,75,209
x_move,0.96,0.0,0.014,0.026,0.1,100,10,75,209
z_move,0.974,0.026,0.0,0.0,0.1,100,10,75,209
extension,0.922,0.037,0.0,0.041,0.01,100,10,75,209
velo,1.0,0.0,0.0,0.0,0.01,100,10,75,209
spin_rate,0.999,0.0,0.0,0.001,0.02,100,10,75,209
whiff,0.851,0.0,0.0,0.149,0.2,100,10,75,209
hh,0.559,0.04,0.182,0.219,0.16,100,10,75,209
ld,0.369,0.035,0.0,0.597,0.2,100,10,75,209
barrel,0.41,0.0,0.003,0.587,0.46,100,10,75,209
weak,0.903,0.028,0.0,0.069,0.17,100,10,75,209
hr,0.25,0.0,0.167,0.583,0.5,100,10,75,209
swing%,0.747,0.081,0.061,0.111,0.07,100,10,75,209
chase%,0.823,0.0,0.162,0.015,0.18,100,10,75,209
xwobacon,0.0,0.0,0.202,0.798,0.31,0,25,75,1033
la,0.0,0.165,0.405,0.429,1.44,0,25,75,1033
ev,0.0,0.128,0.404,0.469,0.05,0,25,75,1033
gb/fb,0.0,0.088,0.45,0.462,1.23,0,25,75,1033
x_move,0.0,0.621,0.234,0.146,0.91,0,25,75,1033
z_move,0.0,0.351,0.075,0.573,2.03,0,25,75,1033
extension,0.0,0.876,0.109,0.015,0.03,0,25,75,1033
velo,0.0,0.47,0.412,0.118,0.07,0,25,75,1033
spin_rate,0.0,0.658,0.0,0.342,0.21,0,25,75,1033
whiff,0.0,0.292,0.51,0.198,0.64,0,25,75,1033
hh,0.0,0.093,0.355,0.552,0.4,0,25,75,1033
ld,0.0,0.0,0.0,1.0,0.49,0,25,75,1033
barrel,0.0,0.035,0.084,0.881,1.14,0,25,75,1033
weak,0.0,0.167,0.504,0.329,0.49,0,25,75,1033
hr,0.0,0.086,0.208,0.706,1.07,0,25,75,1033
swing%,0.0,0.241,0.492,0.266,0.15,0,25,75,1033
chase%,0.0,0.275,0.435,0.291,0.45,0,25,75,1033
xwobacon,0.072,0.025,0.117,0.787,0.12,10,25,75,907
la,0.557,0.126,0.122,0.195,0.87,10,25,75,907
ev,0.242,0.134,0.206,0.418,0.03,10,25,75,907
gb/fb,0.37,0.153,0.25,0.227,0.79,10,25,75,907
x_move,0.934,0.0,0.038,0.029,0.17,10,25,75,907
z_move,0.943,0.0,0.0,0.057,0.21,10,25,75,907
extension,0.754,0.187,0.047,0.012,0.02,10,25,75,907
velo,0.997,0.0,0.001,0.002,0.01,10,25,75,907
spin_rate,0.987,0.003,0.0,0.009,0.03,10,25,75,907
whiff,0.545,0.063,0.293,0.098,0.36,10,25,75,907
hh,0.176,0.116,0.22,0.489,0.19,10,25,75,907
ld,0.024,0.015,0.129,0.832,0.18,10,25,75,907
barrel,0.103,0.031,0.116,0.751,0.47,10,25,75,907
weak,0.403,0.165,0.256,0.176,0.31,10,25,75,907
hr,0.035,0.072,0.195,0.698,0.47,10,25,75,907
swing%,0.26,0.205,0.357,0.178,0.09,10,25,75,907
chase%,0.463,0.112,0.247,0.178,0.28,10,25,75,907
xwobacon,0.147,0.044,0.142,0.667,0.11,25,25,75,731
la,0.764,0.085,0.044,0.106,0.67,25,25,75,731
ev,0.421,0.064,0.2,0.315,0.02,25,25,75,731
gb/fb,0.317,0.118,0.153,0.412,0.86,25,25,75,731
x_move,0.953,0.0,0.047,0.0,0.15,25,25,75,731
z_move,0.952,0.0,0.0,0.048,0.17,25,25,75,731
extension,0.836,0.107,0.037,0.021,0.01,25,25,75,731
velo,0.989,0.0,0.0,0.011,0.01,25,25,75,731
spin_rate,0.986,0.0,0.014,0.0,0.03,25,25,75,731
whiff,0.744,0.0,0.23,0.026,0.28,25,25,75,731
hh,0.308,0.094,0.239,0.36,0.17,25,25,75,731
ld,0.055,0.039,0.126,0.78,0.18,25,25,75,731
barrel,0.181,0.057,0.179,0.583,0.45,25,25,75,731
weak,0.615,0.115,0.159,0.112,0.26,25,25,75,731
hr,0.092,0.076,0.176,0.655,0.46,25,25,75,731
swing%,0.436,0.172,0.247,0.145,0.08,25,25,75,731
chase%,0.676,0.061,0.158,0.105,0.24,25,25,75,731
xwobacon,0.245,0.029,0.09,0.636,0.11,50,25,75,545
la,0.834,0.019,0.039,0.108,0.61,50,25,75,545
ev,0.543,0.037,0.142,0.278,0.02,50,25,75,545
gb/fb,0.467,0.084,0.02,0.428,0.79,50,25,75,545
x_move,0.957,0.011,0.013,0.02,0.11,50,25,75,545
z_move,0.95,0.0,0.0,0.05,0.15,50,25,75,545
extension,0.887,0.073,0.006,0.035,0.01,50,25,75,545
velo,0.996,0.0,0.0,0.004,0.01,50,25,75,545
spin_rate,0.997,0.0,0.0,0.003,0.02,50,25,75,545
whiff,0.825,0.026,0.149,0.0,0.24,50,25,75,545
hh,0.397,0.062,0.149,0.392,0.16,50,25,75,545
ld,0.078,0.032,0.019,0.872,0.21,50,25,75,545
barrel,0.321,0.046,0.089,0.545,0.44,50,25,75,545
weak,0.789,0.008,0.094,0.109,0.22,50,25,75,545
hr,0.186,0.066,0.141,0.607,0.47,50,25,75,545
swing%,0.573,0.113,0.201,0.113,0.07,50,25,75,545
chase%,0.769,0.043,0.132,0.057,0.21,50,25,75,545
xwobacon,0.248,0.001,0.123,0.628,0.12,75,25,75,360
la,0.89,0.012,0.0,0.098,0.58,75,25,75,360
ev,0.622,0.021,0.131,0.225,0.02,75,25,75,360
gb/fb,0.75,0.0,0.019,0.231,0.75,75,25,75,360
x_move,0.975,0.0,0.005,0.019,0.11,75,25,75,360
z_move,0.942,0.004,0.0,0.054,0.13,75,25,75,360
extension,0.915,0.044,0.0,0.041,0.01,75,25,75,360
velo,1.0,0.0,0.0,0.0,0.01,75,25,75,360
spin_rate,1.0,0.0,0.0,0.0,0.02,75,25,75,360
whiff,0.882,0.024,0.094,0.0,0.21,75,25,75,360
hh,0.446,0.032,0.184,0.338,0.16,75,25,75,360
ld,0.156,0.024,0.039,0.781,0.2,75,25,75,360
barrel,0.374,0.024,0.061,0.541,0.45,75,25,75,360
weak,0.833,0.006,0.092,0.069,0.22,75,25,75,360
hr,0.198,0.091,0.18,0.532,0.47,75,25,75,360
swing%,0.711,0.037,0.153,0.099,0.07,75,25,75,360
chase%,0.841,0.034,0.068,0.057,0.2,75,25,75,360
xwobacon,0.392,0.001,0.097,0.51,0.11,100,25,75,208
la,0.88,0.038,0.0,0.082,0.51,100,25,75,208
ev,0.713,0.055,0.137,0.096,0.02,100,25,75,208
gb/fb,0.795,0.121,0.03,0.054,0.79,100,25,75,208
x_move,0.96,0.0,0.015,0.025,0.1,100,25,75,208
z_move,0.974,0.025,0.0,0.001,0.11,100,25,75,208
extension,0.923,0.035,0.0,0.042,0.01,100,25,75,208
velo,1.0,0.0,0.0,0.0,0.01,100,25,75,208
spin_rate,0.999,0.0,0.0,0.001,0.02,100,25,75,208
whiff,0.847,0.015,0.0,0.138,0.2,100,25,75,208
hh,0.578,0.052,0.135,0.235,0.16,100,25,75,208
ld,0.364,0.019,0.066,0.551,0.2,100,25,75,208
barrel,0.405,0.0,0.043,0.551,0.46,100,25,75,208
weak,0.901,0.053,0.0,0.046,0.17,100,25,75,208
hr,0.221,0.034,0.19,0.554,0.5,100,25,75,208
swing%,0.732,0.139,0.008,0.121,0.07,100,25,75,208
chase%,0.826,0.011,0.151,0.013,0.18,100,25,75,208
xwobacon,0.0,0.114,0.117,0.769,0.29,0,50,75,932
la,0.0,0.414,0.278,0.308,1.47,0,50,75,932
ev,0.0,0.343,0.208,0.449,0.05,0,50,75,932
gb/fb,0.0,0.303,0.112,0.585,1.4,0,50,75,932
x_move,0.0,0.64,0.183,0.178,0.91,0,50,75,932
z_move,0.0,0.27,0.122,0.608,1.9,0,50,75,932
extension,0.0,0.925,0.062,0.014,0.03,0,50,75,932
velo,0.0,0.448,0.388,0.164,0.07,0,50,75,932
spin_rate,0.0,0.438,0.0,0.562,0.2,0,50,75,932
whiff,0.0,0.371,0.506,0.123,0.6,0,50,75,932
hh,0.0,0.22,0.294,0.486,0.39,0,50,75,932
ld,0.0,0.051,0.102,0.846,0.45,0,50,75,932
barrel,0.0,0.063,0.017,0.92,1.09,0,50,75,932
weak,0.0,0.406,0.327,0.267,0.49,0,50,75,932
hr,0.0,0.159,0.07,0.771,1.04,0,50,75,932
swing%,0.0,0.363,0.406,0.23,0.15,0,50,75,932
chase%,0.0,0.427,0.357,0.216,0.43,0,50,75,932
xwobacon,0.067,0.133,0.095,0.704,0.12,10,50,75,826
la,0.549,0.145,0.166,0.139,0.89,10,50,75,826
ev,0.239,0.184,0.194,0.382,0.03,10,50,75,826
gb/fb,0.386,0.14,0.344,0.13,0.83,10,50,75,826
x_move,0.927,0.015,0.018,0.041,0.18,10,50,75,826
z_move,0.94,0.0,0.0,0.06,0.22,10,50,75,826
extension,0.75,0.233,0.002,0.016,0.02,10,50,75,826
velo,0.991,0.0,0.005,0.005,0.01,10,50,75,826
spin_rate,0.991,0.003,0.003,0.003,0.03,10,50,75,826
whiff,0.526,0.235,0.215,0.024,0.36,10,50,75,826
hh,0.162,0.176,0.213,0.449,0.18,10,50,75,826
ld,0.027,0.033,0.077,0.863,0.18,10,50,75,826
barrel,0.092,0.111,0.132,0.665,0.47,10,50,75,826
weak,0.409,0.272,0.125,0.194,0.31,10,50,75,826
hr,0.03,0.141,0.163,0.665,0.46,10,50,75,826
swing%,0.228,0.307,0.303,0.162,0.09,10,50,75,826
chase%,0.443,0.232,0.187,0.138,0.27,10,50,75,826
xwobacon,0.164,0.092,0.13,0.613,0.12,25,50,75,681
la,0.758,0.088,0.041,0.113,0.69,25,50,75,681
ev,0.421,0.156,0.117,0.306,0.02,25,50,75,681
gb/fb,0.356,0.097,0.034,0.513,0.79,25,50,75,681
x_move,0.938,0.0,0.041,0.021,0.15,25,50,75,681
z_move,0.943,0.0,0.0,0.057,0.18,25,50,75,681
extension,0.842,0.11,0.031,0.017,0.01,25,50,75,681
velo,0.996,0.0,0.0,0.004,0.01,25,50,75,681
spin_rate,0.978,0.0,0.022,0.0,0.03,25,50,75,681
whiff,0.743,0.067,0.176,0.014,0.28,25,50,75,681
hh,0.306,0.165,0.204,0.325,0.17,25,50,75,681
ld,0.062,0.083,0.063,0.791,0.19,25,50,75,681
barrel,0.191,0.106,0.171,0.532,0.46,25,50,75,681
weak,0.615,0.12,0.171,0.093,0.25,25,50,75,681
hr,0.097,0.142,0.154,0.606,0.44,25,50,75,681
swing%,0.398,0.287,0.186,0.128,0.08,25,50,75,681
chase%,0.66,0.129,0.119,0.091,0.23,25,50,75,681
xwobacon,0.234,0.098,0.106,0.563,0.11,50,50,75,512
la,0.851,0.099,0.0,0.05,0.61,50,50,75,512
ev,0.548,0.133,0.109,0.211,0.02,50,50,75,512
gb/fb,0.435,0.049,0.118,0.398,0.79,50,50,75,512
x_move,0.955,0.004,0.012,0.029,0.11,50,50,75,512
z_move,0.935,0.004,0.011,0.05,0.13,50,50,75,512
extension,0.886,0.079,0.0,0.035,0.01,50,50,75,512
velo,0.998,0.0,0.0,0.002,0.01,50,50,75,512
spin_rate,0.995,0.0,0.0,0.005,0.02,50,50,75,512
whiff,0.852,0.0,0.148,0.0,0.24,50,50,75,512
hh,0.384,0.136,0.161,0.319,0.16,50,50,75,512
ld,0.067,0.065,0.071,0.797,0.2,50,50,75,512
barrel,0.309,0.117,0.122,0.452,0.44,50,50,75,512
weak,0.775,0.101,0.025,0.098,0.22,50,50,75,512
hr,0.159,0.149,0.17,0.522,0.46,50,50,75,512
swing%,0.557,0.151,0.166,0.127,0.07,50,50,75,512
chase%,0.774,0.043,0.133,0.049,0.21,50,50,75,512
xwobacon,0.279,0.024,0.119,0.578,0.12,75,50,75,342
la,0.885,0.039,0.0,0.076,0.6,75,50,75,342
ev,0.636,0.052,0.112,0.2,0.02,75,50,75,342
gb/fb,0.614,0.031,0.025,0.33,0.84,75,50,75,342
x_move,0.96,0.0,0.016,0.024,0.11,75,50,75,342
z_move,0.951,0.0,0.0,0.049,0.16,75,50,75,342
extension,0.918,0.04,0.0,0.041,0.01,75,50,75,342
velo,1.0,0.0,0.0,0.0,0.01,75,50,75,342
spin_rate,0.989,0.0,0.0,0.011,0.02,75,50,75,342
whiff,0.864,0.0,0.136,0.0,0.22,75,50,75,342
hh,0.462,0.116,0.143,0.279,0.17,75,50,75,342
ld,0.128,0.098,0.091,0.683,0.2,75,50,75,342
barrel,0.414,0.0,0.092,0.494,0.48,75,50,75,342
weak,0.842,0.053,0.077,0.028,0.21,75,50,75,342
hr,0.201,0.049,0.204,0.546,0.48,75,50,75,342
swing%,0.705,0.101,0.115,0.08,0.07,75,50,75,342
chase%,0.826,0.033,0.083,0.058,0.2,75,50,75,342
xwobacon,0.399,0.078,0.106,0.417,0.11,100,50,75,200
la,0.902,0.032,0.0,0.066,0.51,100,50,75,200
ev,0.698,0.1,0.096,0.106,0.02,100,50,75,200
gb/fb,0.867,0.0,0.011,0.122,0.84,100,50,75,200
x_move,0.929,0.0,0.034,0.038,0.11,100,50,75,200
z_move,0.961,0.029,0.0,0.01,0.12,100,50,75,200
extension,0.927,0.029,0.0,0.044,0.01,100,50,75,200
velo,1.0,0.0,0.0,0.0,0.01,100,50,75,200
spin_rate,0.994,0.0,0.0,0.006,0.02,100,50,75,200
whiff,0.852,0.0,0.03,0.118,0.19,100,50,75,200
hh,0.556,0.076,0.166,0.202,0.15,100,50,75,200
ld,0.338,0.052,0.123,0.487,0.2,100,50,75,200
barrel,0.409,0.076,0.043,0.472,0.46,100,50,75,200
weak,0.908,0.034,0.005,0.053,0.18,100,50,75,200
hr,0.255,0.114,0.057,0.574,0.51,100,50,75,200
swing%,0.714,0.119,0.06,0.108,0.07,100,50,75,200
chase%,0.839,0.0,0.155,0.005,0.18,100,50,75,200
xwobacon,0.0,0.006,0.046,0.948,0.3,0,75,75,832
la,0.0,0.443,0.256,0.301,1.42,0,75,75,832
ev,0.0,0.33,0.33,0.34,0.05,0,75,75,832
gb/fb,0.0,0.497,0.305,0.199,1.4,0,75,75,832
x_move,0.0,0.817,0.031,0.151,0.89,0,75,75,832
z_move,0.0,0.266,0.117,0.617,1.97,0,75,75,832
extension,0.0,0.96,0.019,0.022,0.03,0,75,75,832
velo,0.0,0.499,0.464,0.037,0.07,0,75,75,832
spin_rate,0.0,0.496,0.0,0.504,0.2,0,75,75,832
whiff,0.0,0.449,0.357,0.194,0.58,0,75,75,832
hh,0.0,0.197,0.335,0.468,0.38,0,75,75,832
ld,0.0,0.126,0.01,0.864,0.46,0,75,75,832
barrel,0.0,0.129,0.054,0.817,1.07,0,75,75,832
weak,0.0,0.46,0.288,0.252,0.52,0,75,75,832
hr,0.0,0.213,0.029,0.758,1.02,0,75,75,832
swing%,0.0,0.444,0.398,0.158,0.14,0,75,75,832
chase%,0.0,0.491,0.399,0.11,0.44,0,75,75,832
xwobacon,0.079,0.107,0.088,0.726,0.12,10,75,75,743
la,0.591,0.175,0.092,0.143,0.86,10,75,75,743
ev,0.258,0.287,0.137,0.317,0.03,10,75,75,743
gb/fb,0.376,0.285,0.339,0.0,0.88,10,75,75,743
x_move,0.938,0.008,0.029,0.025,0.17,10,75,75,743
z_move,0.932,0.0,0.0,0.068,0.22,10,75,75,743
extension,0.763,0.21,0.017,0.011,0.02,10,75,75,743
velo,0.989,0.0,0.006,0.006,0.01,10,75,75,743
spin_rate,0.999,0.0,0.0,0.0,0.03,10,75,75,743
whiff,0.516,0.242,0.242,0.0,0.36,10,75,75,743
hh,0.176,0.268,0.183,0.373,0.18,10,75,75,743
ld,0.029,0.092,0.08,0.799,0.18,10,75,75,743
barrel,0.108,0.119,0.121,0.652,0.48,10,75,75,743
weak,0.428,0.343,0.117,0.112,0.31,10,75,75,743
hr,0.035,0.188,0.143,0.633,0.46,10,75,75,743
swing%,0.227,0.389,0.229,0.155,0.09,10,75,75,743
chase%,0.471,0.257,0.14,0.132,0.27,10,75,75,743
xwobacon,0.161,0.122,0.096,0.622,0.12,25,75,75,623
la,0.793,0.119,0.026,0.062,0.73,25,75,75,623
ev,0.432,0.2,0.154,0.215,0.02,25,75,75,623
gb/fb,0.353,0.104,0.114,0.428,0.9,25,75,75,623
x_move,0.927,0.014,0.029,0.03,0.14,25,75,75,623
z_move,0.932,0.0,0.0,0.068,0.16,25,75,75,623
extension,0.827,0.141,0.014,0.018,0.01,25,75,75,623
velo,0.989,0.0,0.003,0.008,0.01,25,75,75,623
spin_rate,0.981,0.0,0.019,0.0,0.03,25,75,75,623
whiff,0.756,0.107,0.136,0.0,0.28,25,75,75,623
hh,0.307,0.22,0.189,0.283,0.16,25,75,75,623
ld,0.065,0.091,0.063,0.782,0.18,25,75,75,623
barrel,0.191,0.123,0.13,0.557,0.46,25,75,75,623
weak,0.641,0.223,0.065,0.071,0.26,25,75,75,623
hr,0.093,0.186,0.15,0.572,0.44,25,75,75,623
swing%,0.386,0.318,0.187,0.109,0.08,25,75,75,623
chase%,0.669,0.12,0.137,0.074,0.24,25,75,75,623
xwobacon,0.257,0.057,0.104,0.581,0.11,50,75,75,474
la,0.85,0.048,0.0,0.102,0.56,50,75,75,474
ev,0.533,0.132,0.134,0.2,0.02,50,75,75,474
gb/fb,0.52,0.077,0.026,0.377,0.86,50,75,75,474
x_move,0.946,0.0,0.021,0.033,0.11,50,75,75,474
z_move,0.945,0.001,0.0,0.053,0.13,50,75,75,474
extension,0.86,0.105,0.0,0.035,0.01,50,75,75,474
velo,0.989,0.0,0.0,0.011,0.01,50,75,75,474
spin_rate,0.982,0.0,0.0,0.018,0.02,50,75,75,474
whiff,0.844,0.054,0.102,0.0,0.24,50,75,75,474
hh,0.404,0.13,0.164,0.302,0.16,50,75,75,474
ld,0.066,0.071,0.067,0.796,0.21,50,75,75,474
barrel,0.332,0.013,0.169,0.486,0.43,50,75,75,474
weak,0.765,0.124,0.081,0.03,0.23,50,75,75,474
hr,0.173,0.129,0.16,0.538,0.47,50,75,75,474
swing%,0.527,0.224,0.161,0.089,0.07,50,75,75,474
chase%,0.752,0.07,0.124,0.054,0.21,50,75,75,474
xwobacon,0.27,0.112,0.051,0.567,0.12,75,75,75,324
la,0.872,0.122,0.0,0.006,0.58,75,75,75,324
ev,0.589,0.116,0.107,0.188,0.02,75,75,75,324
gb/fb,0.593,0.014,0.196,0.196,0.9,75,75,75,324
x_move,0.955,0.0,0.029,0.016,0.11,75,75,75,324
z_move,0.949,0.0,0.0,0.051,0.14,75,75,75,324
extension,0.926,0.034,0.0,0.04,0.01,75,75,75,324
velo,0.99,0.0,0.003,0.006,0.01,75,75,75,324
spin_rate,0.99,0.0,0.0,0.01,0.02,75,75,75,324
whiff,0.906,0.0,0.094,0.0,0.22,75,75,75,324
hh,0.437,0.115,0.148,0.3,0.16,75,75,75,324
ld,0.146,0.036,0.016,0.801,0.21,75,75,75,324
barrel,0.389,0.095,0.054,0.462,0.46,75,75,75,324
weak,0.818,0.088,0.04,0.054,0.21,75,75,75,324
hr,0.189,0.156,0.193,0.463,0.47,75,75,75,324
swing%,0.7,0.125,0.077,0.098,0.07,75,75,75,324
chase%,0.828,0.049,0.071,0.052,0.2,75,75,75,324
xwobacon,0.386,0.009,0.068,0.537,0.11,100,75,75,195
la,0.893,0.0,0.036,0.071,0.54,100,75,75,195
ev,0.665,0.116,0.086,0.133,0.02,100,75,75,195
gb/fb,0.834,0.0,0.022,0.145,0.84,100,75,75,195
x_move,0.927,0.0,0.042,0.031,0.11,100,75,75,195
z_move,0.978,0.022,0.0,0.0,0.12,100,75,75,195
extension,0.932,0.027,0.0,0.041,0.01,100,75,75,195
velo,1.0,0.0,0.0,0.0,0.01,100,75,75,195
spin_rate,0.996,0.0,0.0,0.004,0.02,100,75,75,195
whiff,0.84,0.06,0.002,0.099,0.19,100,75,75,195
hh,0.527,0.204,0.123,0.146,0.15,100,75,75,195
ld,0.344,0.014,0.031,0.612,0.2,100,75,75,195
barrel,0.394,0.095,0.0,0.511,0.46,100,75,75,195
weak,0.896,0.0,0.015,0.089,0.17,100,75,75,195
hr,0.239,0.126,0.109,0.526,0.51,100,75,75,195
swing%,0.669,0.148,0.073,0.111,0.07,100,75,75,195
chase%,0.811,0.0,0.179,0.01,0.18,100,75,75,195
xwobacon,0.0,0.057,0.037,0.905,0.29,0,100,75,707
la,0.0,0.538,0.101,0.36,1.46,0,100,75,707
ev,0.0,0.234,0.267,0.499,0.05,0,100,75,707
gb/fb,0.0,0.475,0.15,0.375,1.28,0,100,75,707
x_move,0.0,0.743,0.006,0.251,0.92,0,100,75,707
z_move,0.0,0.225,0.069,0.706,1.94,0,100,75,707
extension,0.0,0.968,0.017,0.015,0.03,0,100,75,707
velo,0.0,0.438,0.379,0.182,0.06,0,100,75,707
spin_rate,0.0,0.416,0.0,0.584,0.17,0,100,75,707
whiff,0.0,0.569,0.431,0.0,0.58,0,100,75,707
hh,0.0,0.127,0.264,0.609,0.38,0,100,75,707
ld,0.0,0.221,0.043,0.735,0.43,0,100,75,707
barrel,0.0,0.116,0.049,0.835,1.0,0,100,75,707
weak,0.0,0.513,0.262,0.224,0.47,0,100,75,707
hr,0.0,0.248,0.03,0.722,0.95,0,100,75,707
swing%,0.0,0.524,0.364,0.113,0.14,0,100,75,707
chase%,0.0,0.475,0.447,0.078,0.43,0,100,75,707
xwobacon,0.076,0.181,0.083,0.66,0.12,10,100,75,643
la,0.562,0.247,0.018,0.173,0.81,10,100,75,643
ev,0.259,0.271,0.154,0.317,0.03,10,100,75,643
gb/fb,0.373,0.223,0.349,0.055,0.73,10,100,75,643
x_move,0.915,0.036,0.011,0.038,0.18,10,100,75,643
z_move,0.931,0.0,0.0,0.069,0.25,10,100,75,643
extension,0.763,0.214,0.008,0.015,0.02,10,100,75,643
velo,0.987,0.004,0.005,0.004,0.01,10,100,75,643
spin_rate,0.978,0.018,0.0,0.004,0.03,10,100,75,643
whiff,0.507,0.151,0.342,0.0,0.36,10,100,75,643
hh,0.163,0.233,0.156,0.447,0.18,10,100,75,643
ld,0.022,0.127,0.087,0.765,0.18,10,100,75,643
barrel,0.104,0.167,0.118,0.611,0.46,10,100,75,643
weak,0.406,0.305,0.149,0.14,0.31,10,100,75,643
hr,0.031,0.239,0.15,0.58,0.46,10,100,75,643
swing%,0.234,0.394,0.226,0.146,0.09,10,100,75,643
chase%,0.447,0.275,0.17,0.109,0.26,10,100,75,643
xwobacon,0.18,0.063,0.096,0.661,0.12,25,100,75,550
la,0.776,0.135,0.0,0.09,0.7,25,100,75,550
ev,0.461,0.166,0.174,0.199,0.02,25,100,75,550
gb/fb,0.318,0.193,0.085,0.404,0.85,25,100,75,550
x_move,0.926,0.0,0.058,0.015,0.14,25,100,75,550
z_move,0.948,0.0,0.0,0.052,0.16,25,100,75,550
extension,0.822,0.158,0.001,0.019,0.01,25,100,75,550
velo,0.993,0.0,0.002,0.005,0.01,25,100,75,550
spin_rate,1.0,0.0,0.0,0.0,0.02,25,100,75,550
whiff,0.747,0.072,0.181,0.0,0.29,25,100,75,550
hh,0.313,0.18,0.201,0.306,0.16,25,100,75,550
ld,0.061,0.13,0.068,0.741,0.19,25,100,75,550
barrel,0.221,0.083,0.122,0.575,0.45,25,100,75,550
weak,0.662,0.176,0.051,0.111,0.25,25,100,75,550
hr,0.087,0.173,0.161,0.579,0.44,25,100,75,550
swing%,0.393,0.294,0.207,0.105,0.08,25,100,75,550
chase%,0.688,0.102,0.124,0.086,0.24,25,100,75,550
xwobacon,0.259,0.142,0.051,0.548,0.11,50,100,75,416
la,0.883,0.011,0.0,0.106,0.59,50,100,75,416
ev,0.553,0.149,0.119,0.179,0.02,50,100,75,416
gb/fb,0.445,0.043,0.068,0.444,0.79,50,100,75,416
x_move,0.94,0.0,0.032,0.029,0.11,50,100,75,416
z_move,0.957,0.002,0.0,0.041,0.13,50,100,75,416
extension,0.875,0.086,0.0,0.039,0.01,50,100,75,416
velo,0.999,0.0,0.0,0.001,0.01,50,100,75,416
spin_rate,0.978,0.0,0.0,0.022,0.02,50,100,75,416
whiff,0.793,0.06,0.148,0.0,0.23,50,100,75,416
hh,0.4,0.208,0.106,0.286,0.16,50,100,75,416
ld,0.074,0.102,0.031,0.794,0.21,50,100,75,416
barrel,0.354,0.12,0.089,0.437,0.43,50,100,75,416
weak,0.795,0.055,0.006,0.144,0.22,50,100,75,416
hr,0.151,0.235,0.144,0.47,0.46,50,100,75,416
swing%,0.531,0.2,0.168,0.102,0.07,50,100,75,416
chase%,0.735,0.121,0.094,0.05,0.21,50,100,75,416
xwobacon,0.273,0.113,0.039,0.575,0.12,75,100,75,289
la,0.874,0.087,0.0,0.039,0.54,75,100,75,289
ev,0.578,0.122,0.103,0.196,0.02,75,100,75,289
gb/fb,0.685,0.015,0.018,0.282,0.81,75,100,75,289
x_move,0.954,0.0,0.027,0.019,0.11,75,100,75,289
z_move,0.953,0.0,0.0,0.047,0.16,75,100,75,289
extension,0.935,0.021,0.0,0.044,0.01,75,100,75,289
velo,0.997,0.001,0.001,0.001,0.01,75,100,75,289
spin_rate,0.993,0.0,0.0,0.007,0.02,75,100,75,289
whiff,0.915,0.0,0.085,0.0,0.22,75,100,75,289
hh,0.455,0.289,0.021,0.236,0.16,75,100,75,289
ld,0.162,0.061,0.0,0.777,0.2,75,100,75,289
barrel,0.394,0.132,0.055,0.418,0.44,75,100,75,289
weak,0.802,0.141,0.0,0.057,0.21,75,100,75,289
hr,0.155,0.212,0.143,0.49,0.48,75,100,75,289
swing%,0.698,0.106,0.123,0.074,0.07,75,100,75,289
chase%,0.789,0.088,0.11,0.013,0.2,75,100,75,289
xwobacon,0.407,0.041,0.079,0.472,0.11,100,100,75,180
la,0.872,0.0,0.008,0.121,0.49,100,100,75,180
ev,0.684,0.079,0.059,0.178,0.02,100,100,75,180
gb/fb,0.957,0.038,0.005,0.0,0.82,100,100,75,180
x_move,0.927,0.0,0.031,0.042,0.11,100,100,75,180
z_move,0.963,0.03,0.0,0.008,0.12,100,100,75,180
extension,0.924,0.032,0.0,0.043,0.01,100,100,75,180
velo,1.0,0.0,0.0,0.0,0.01,100,100,75,180
spin_rate,1.0,0.0,0.0,0.0,0.02,100,100,75,180
whiff,0.834,0.022,0.043,0.102,0.19,100,100,75,180
hh,0.553,0.157,0.079,0.211,0.15,100,100,75,180
ld,0.325,0.0,0.0,0.675,0.2,100,100,75,180
barrel,0.418,0.045,0.089,0.448,0.45,100,100,75,180
weak,0.908,0.02,0.003,0.068,0.17,100,100,75,180
hr,0.179,0.164,0.223,0.434,0.5,100,100,75,180
swing%,0.656,0.189,0.097,0.058,0.07,100,100,75,180
chase%,0.83,0.0,0.138,0.032,0.19,100,100,75,180
xwobacon,0.0,0.009,0.16,0.831,0.3,0,10,100,835
