diff_threshold,pred_hr_threshold,train_picks,train_win_rate,train_profit,train_roi,num_picks,win_rate,total_profit,roi,sum_profit,sum_picks,weight,both_roi,decision
0.045,0.12,407,20.88,543.83,13.36,598,17.22,-438.82,-7.34,105.01,1005,60,1.044875622,
0.02,0.2,313,27.8,367.02,11.73,513,24.37,-281.06,-5.48,85.96,826,30,1.040677966,
0.035,0.2,214,28.97,230.6,10.78,347,26.51,-173.74,-5.01,56.86,561,15,1.013547237,
0.045,0.12,409,20.54,501.4,12.26,611,17.18,-398.93,-6.53,102.47,1020,70,1.004607843,
0.015,0.2,293,27.65,403.48,13.77,468,23.08,-328.19,-7.01,75.29,761,90,0.98935611,
0.05,0.1,371,18.33,107.21,2.89,565,17.17,-17.7,-0.31,89.51,936,55,0.956303419,
0.05,0.12,316,20.25,409.02,12.94,494,17.41,-331.9,-6.72,77.12,810,70,0.952098765,
0.02,0.2,304,27.96,379.98,12.5,492,23.98,-305.64,-6.21,74.34,796,35,0.933919598,
0.055,0.08,318,17.3,42.86,1.35,523,16.25,28.96,0.55,71.82,841,90,0.853983353,
0.05,0.1,390,17.95,275.56,7.07,607,16.14,-191.04,-3.15,84.52,997,95,0.84774323,
0.02,0.2,269,28.25,385.01,14.31,436,23.39,-326.98,-7.5,58.03,705,55,0.823120567,
0.05,0.08,408,17.89,190.3,4.66,633,16.11,-106.91,-1.69,83.39,1041,60,0.801056676,
0.055,0.12,240,20.42,287.12,11.96,392,17.86,-236.53,-6.03,50.59,632,85,0.800474684,
0.02,0.2,240,28.75,415.33,17.31,404,22.77,-364.87,-9.03,50.46,644,80,0.783540373,
0.04,0.12,457,21.88,622.05,13.61,676,17.9,-535.63,-7.92,86.42,1133,30,0.762753751,
0.055,0.12,242,20.66,294.59,12.17,393,17.81,-246.53,-6.27,48.06,635,80,0.756850394,
0.015,0.22,272,27.21,-5.48,-0.2,441,28.57,59.41,1.35,53.93,713,20,0.756381487,
0.05,0.12,315,20.32,419.02,13.3,494,17.21,-359.91,-7.29,59.11,809,75,0.73065513,
0.05,0.1,386,17.88,212.99,5.52,602,16.28,-141.04,-2.34,71.95,988,85,0.728238866,
0.015,0.2,309,27.18,357.88,11.58,487,23.41,-300,-6.16,57.88,796,70,0.727135678,
0.05,0.1,387,18.09,247.04,6.38,601,16.31,-175.79,-2.92,71.25,988,80,0.721153846,
0.02,0.2,260,28.46,408,15.69,425,23.06,-360.1,-8.47,47.9,685,60,0.699270073,
0.045,0.08,437,20.59,367.81,8.42,667,16.79,-291.23,-4.37,76.58,1104,30,0.69365942,
0.035,0.18,268,27.99,399.19,14.9,418,23.92,-351.87,-8.42,47.32,686,20,0.689795918,
0.025,0.22,214,28.5,40.4,1.89,365,29.04,-1.4,-0.04,39,579,15,0.67357513,
0.055,0.1,287,18.12,10.06,0.35,459,17.65,40.17,0.88,50.23,746,70,0.673324397,
0.04,0.18,230,28.7,341.81,14.86,332,24.1,-304.06,-9.16,37.75,562,20,0.671708185,
0.02,0.2,343,27.7,342.45,9.98,556,24.82,-283.19,-5.09,59.26,899,20,0.659176863,
0.045,0.08,512,18.55,293.98,5.74,777,16.09,-211.2,-2.72,82.78,1289,45,0.642203258,
0.015,0.2,290,27.59,399.47,13.77,463,22.89,-353.74,-7.64,45.73,753,95,0.607304117,
0.05,0.08,390,17.69,-20.26,-0.52,609,16.75,76.42,1.25,56.16,999,50,0.562162162,
0.02,0.2,251,28.29,382.38,15.23,416,23.08,-346.39,-8.33,35.99,667,70,0.53958021,
0.055,0.1,292,17.81,42.56,1.46,471,17.2,-6.86,-0.15,35.7,763,85,0.467889908,
0.04,0.12,378,24.07,581.21,15.38,571,19.44,-542.22,-9.5,38.99,949,20,0.41085353,
0.05,0.12,321,20.25,460.09,14.33,493,16.84,-427.93,-8.68,32.16,814,90,0.395085995,
0.02,0.18,394,27.92,368.37,9.35,621,25.28,-328.95,-5.3,39.42,1015,10,0.388374384,
0.025,0.22,205,29.76,144.41,7.04,334,27.54,-123.77,-3.71,20.64,539,20,0.382931354,
0.06,0.12,204,20.59,154.83,7.59,329,18.54,-136.54,-4.15,18.29,533,75,0.34315197,
0.015,0.2,311,27.01,337.88,10.86,497,23.34,-310.59,-6.25,27.29,808,65,0.337747525,
0.035,0.06,610,19.51,284.37,4.66,959,17.73,-234.41,-2.44,49.96,1569,20,0.318419375,
0.055,0.1,285,18.25,30.06,1.05,459,17.65,-6.56,-0.14,23.5,744,65,0.315860215,
0.015,0.2,297,27.61,410.87,13.83,474,22.78,-388.19,-8.19,22.68,771,85,0.294163424,
0.045,0.1,489,19.22,371.84,7.6,723,16.32,-336.4,-4.65,35.44,1212,55,0.292409241,
0.02,0.2,237,28.27,384.34,16.22,401,22.69,-367.87,-9.17,16.47,638,85,0.25815047,
0.055,0.12,241,20.33,224.59,9.32,392,18.11,-209.5,-5.34,15.09,633,75,0.238388626,
0.045,0.1,491,18.94,427.29,8.7,732,16.12,-401.93,-5.49,25.36,1223,60,0.207358953,
0.05,0.08,416,17.07,62.3,1.5,665,15.94,-42.69,-0.64,19.61,1081,70,0.181406105,
0.045,0.12,406,20.44,478.77,11.79,604,17.05,-462.29,-7.65,16.48,1010,65,0.163168317,
0.015,0.2,299,27.42,390.87,13.07,477,22.85,-381.15,-7.99,9.72,776,80,0.125257732,
0.02,0.2,298,27.85,365.01,12.25,477,23.48,-365.78,-7.67,-0.77,775,40,-0.009935484,
0.05,0.12,303,21.78,413.05,13.63,461,18,-415.21,-9.01,-2.16,764,45,-0.028272251,
0.05,0.12,320,20,427.54,13.36,494,16.8,-437.93,-8.86,-10.39,814,95,-0.127641278,
0.05,0.12,263,23.19,237.98,9.05,397,20.15,-247.65,-6.24,-9.67,660,25,-0.146515152,
0.05,0.08,417,17.51,125.72,3.01,651,15.98,-144.69,-2.22,-18.97,1068,65,-0.177621723,
0.05,0.1,355,19.44,168.49,4.75,540,17.41,-185.54,-3.44,-17.05,895,45,-0.190502793,
0.025,0.22,227,28.19,-48.42,-2.13,366,29.78,36.46,1,-11.96,593,10,-0.201686341,
0.05,0.12,314,20.38,317.02,10.1,476,17.65,-335.09,-7.04,-18.07,790,55,-0.228734177,
0.05,0.12,318,20.13,389.02,12.23,495,16.97,-407.93,-8.24,-18.91,813,80,-0.232595326,
0.035,0.18,252,27.38,393.71,15.62,400,22,-411.16,-10.28,-17.45,652,35,-0.267638037,
0.035,0.18,256,27.34,362.29,14.15,405,22.72,-384.56,-9.5,-22.27,661,30,-0.336913767,
0.025,0.2,273,28.21,123.95,4.54,442,27.38,-149.66,-3.39,-25.71,715,10,-0.35958042,
0.04,0.06,540,19.44,212.12,3.93,828,17.03,-264.08,-3.19,-51.96,1368,25,-0.379824561,
0.055,0.1,293,17.75,-19.97,-0.68,464,17.46,-9.83,-0.21,-29.8,757,75,-0.393659181,
0.055,0.08,316,16.77,-92.18,-2.92,524,16.41,53.93,1.03,-38.25,840,85,-0.455357143,
0.05,0.12,292,22.6,372.11,12.74,449,18.49,-406.07,-9.04,-33.96,741,35,-0.458299595,
0.06,0.12,205,20.49,144.83,7.06,329,18.24,-169.54,-5.15,-24.71,534,80,-0.462734082,
0.055,0.06,341,16.42,-57.27,-1.68,557,15.8,10.67,0.19,-46.6,898,95,-0.518930958,
0.04,0.1,423,21.99,318.93,7.54,637,18.84,-375.14,-5.89,-56.21,1060,20,-0.530283019,
0.035,0.18,249,27.71,423.71,17.02,392,21.43,-463.07,-11.81,-39.36,641,40,-0.614040562,
0.03,0.22,191,29.32,78.23,4.1,310,28.06,-109.58,-3.53,-31.35,501,15,-0.625748503,
0.05,0.08,378,18.52,43.75,1.16,591,16.75,-104.75,-1.77,-61,969,45,-0.629514964,
0.03,0.2,243,28.81,240.6,9.9,404,25.5,-282.23,-6.99,-41.63,647,15,-0.643431221,
0.05,0.12,316,19.94,364.97,11.55,492,16.87,-417.93,-8.49,-52.96,808,85,-0.655445545,
0.03,0.22,190,31.05,148.06,7.79,329,28.27,-183.19,-5.57,-35.13,519,10,-0.676878613,
0.05,0.08,419,16.95,32.3,0.77,669,15.7,-110.7,-1.65,-78.4,1088,75,-0.720588235,
0.055,0.1,294,18.03,50.03,1.7,471,16.99,-106.86,-2.27,-56.83,765,80,-0.742875817,
0.03,0.06,642,19.78,256.46,3.99,1004,18.13,-380.21,-3.79,-123.75,1646,15,-0.7518226,
0.055,0.08,306,17.32,-74.68,-2.44,504,16.87,13.75,0.27,-60.93,810,65,-0.752222222,
0.045,0.06,493,19.27,370.68,7.52,750,15.73,-481.72,-6.42,-111.04,1243,35,-0.893322607,
0.025,0.18,354,26.27,265.91,7.51,591,24.37,-351.09,-5.94,-85.18,945,15,-0.901375661,
0.055,0.08,310,17.1,-114.68,-3.7,506,16.8,40.48,0.8,-74.2,816,70,-0.909313725,
0.04,0.18,225,28.44,441.78,19.63,334,21.26,-493.12,-14.76,-51.34,559,35,-0.91842576,
0.04,0.18,221,28.05,419.7,18.99,332,21.08,-471.27,-14.19,-51.57,553,40,-0.932549729,
0.015,0.2,391,26.6,294.8,7.54,629,24.01,-391.35,-6.22,-96.55,1020,25,-0.946568627,
0.03,0.18,311,26.37,285.72,9.19,504,23.61,-363,-7.2,-77.28,815,20,-0.948220859,
0.055,0.08,317,17.03,-74.71,-2.36,520,16.35,-6.07,-0.12,-80.78,837,80,-0.965113501,
0.05,0.12,271,22.51,213.75,7.89,429,19.35,-282.53,-6.59,-68.78,700,30,-0.982571429,
0.045,0.12,413,19.85,413.35,10.01,617,16.69,-517.15,-8.38,-103.8,1030,80,-1.00776699,
0.04,0.08,568,18.84,165.33,2.91,862,16.47,-311.67,-3.62,-146.34,1430,30,-1.023356643,
0.045,0.14,226,25.66,116.83,5.17,345,24.64,-175.34,-5.08,-58.51,571,15,-1.02469352,
0.045,0.06,456,19.96,307.68,6.75,696,16.24,-431.98,-6.21,-124.3,1152,30,-1.078993056,
0.015,0.2,415,26.27,131.28,3.16,678,25.52,-251.74,-3.71,-120.46,1093,15,-1.1021043,
0.06,0.12,203,19.7,100.87,4.97,328,18.29,-159.54,-4.86,-58.67,531,85,-1.104896422,
0.045,0.12,300,24,310.59,10.35,462,20.13,-395.06,-8.55,-84.47,762,20,-1.108530184,
0.05,0.08,399,17.29,-67.53,-1.69,627,16.27,-46.91,-0.75,-114.44,1026,55,-1.11539961,
0.06,0.12,206,20.39,94.73,4.6,322,18.94,-154.75,-4.81,-60.02,528,55,-1.136742424,
0.055,0.12,226,22.12,191.69,8.48,362,19.61,-259.07,-7.16,-67.38,588,35,-1.145918367,
0.03,0.18,294,26.53,423.66,14.41,462,21.43,-513.24,-11.11,-89.58,756,45,-1.184920635,
0.035,0.14,402,23.88,415.83,10.34,628,20.7,-538.59,-8.58,-122.76,1030,20,-1.19184466,
0.04,0.12,473,21.35,561.93,11.88,714,17.23,-707.77,-9.91,-145.84,1187,35,-1.228643639,
0.045,0.1,495,18.38,312.23,6.31,742,15.9,-465.4,-6.27,-153.17,1237,65,-1.238237672,
0.04,0.08,444,21.17,214.19,4.82,682,18.18,-354.83,-5.2,-140.64,1126,20,-1.249023091,
